id,text,expected_intent,expected_urgency,expected_handoff
001,"Haftaya Cuma gecesi için Bodrum'da 2 kişilik bir otel odası ayırtmak istiyorum.",NEW_RESERVATION,LOW,false
002,"25-28 Temmuz tarihleri arasındaki Antalya uçak biletimi iptal etmek istiyorum, yardımcı olur musunuz?",CANCEL_RESERVATION,MEDIUM,false
003,"Gelecek ayki Roma seyahatimin otel giriş tarihini iki gün sonraya kaydırabilir miyiz?",CHANGE_RESERVATION,MEDIUM,false
004,"İptal ettiğim otel rezervasyonunun ücret iadesi ne zaman hesabıma yatacak acaba?",REFUND,MEDIUM,false
005,"Ödeme ekranında kredi kartımı giriyorum ama sistem sürekli hata veriyor, bakiyem de kesildi!",PAYMENT_PROBLEM,HIGH,true
006,"Kemer'deki Sunset Otel'de kapalı havuz ve çocuk kulübü var mı?",HOTEL_INFORMATION,LOW,false
007,"Sabiha Gökçen Havalimanı'ndan Taksim'deki otele ulaşım için servisiniz var mı?",TRANSPORT_INFORMATION,LOW,false
008,"Oteldeki oda leş gibi kokuyordu ve klima çalışmıyordu, verdiğim paraya yazık gerçekten!",COMPLAINT,HIGH,true
009,"Mobil uygulamanızda hesabıma giriş yapmaya çalışıyorum ama sayfa sürekli donup kapanıyor.",TECHNICAL_PROBLEM,MEDIUM,true
010,"Merhabalar, uygulamanızın kurucusu kim ve genel merkeziniz hangi şehirde bulunuyor?",OTHER,LOW,false
011,"Yarın sabah İstanbul - İzmir arası tek yön uçak bileti satın alabilir miyim?",NEW_RESERVATION,MEDIUM,false
012,"PnR kodum A12B3C olan rezervasyonumu sağlık sebeplerinden dolayı acilen iptal etmek zorundayım.",CANCEL_RESERVATION,HIGH,true
013,"Paris seyahatimizdeki otel odamızı çift kişilikten iki ayrı tek kişilik yataklı odaya değiştirmek istiyoruz.",CHANGE_RESERVATION,LOW,false
014,"Geçen hafta iptal ettiğim biletin iadesi hala kartıma yansımadı, 3 gündür bekliyorum lütfen ilgilenin.",REFUND,HIGH,true
015,"Kartımdan otel ücreti çekilmiş ama bana hiçbir onay maili veya PNR kodu gelmedi.",PAYMENT_PROBLEM,HIGH,true
